 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Email, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Category, License #
Gujarat Methodist Church Cardiac Care and Research Society Blood Bank,Gujarat,KHEDA,Nadiad,"Blood Bank, Gujarat Methodist Church Centre Care and Research Society, Mission Road, Nadiad, Kheda",387002,"0268 2555711, 0268 2555723",9427004257,,bloodbank@ddmmheart.org,Dr.Devajapa,9427004257,9427004257,bloodbank@ddmmheart.org,Charity,"GB/97	"
General Hospital Blood Bank Mehsana,Gujarat,Mehsana,Mehsana,"Blood Bank, General Hospital, Near Bus Stand, Rajmahal Road, Mehsana",384001,"02762 297301, 02762 221475 ",9727737938,,bbghmehsana@gmail.com,Dr. Dinesh P. Vyas                                                                      ,9727737938,9727737938,bbghmehsana@gmail.com,Government,G 689
Mehsana Jaycees Charitable Trust Blood Bank,Gujarat,Mehsana,Mehsana,"Mehsana Jaycees Charitable Trust Sanchalit Sarvodaya Commercial Co.op Voluntary Blood Bank, Pinky Super Bazar, Dairy Road, Mehsana",384002,"02762 251252, 02762 243634 ",9879186828,,mjbb84@gmail.com,Dr. N. R. Patel ,9879186828,"98,79,18,68,28,09,42,60,00,000",mjbb84@gmail.com,Private,"GB/657	"
"Sardar Seva Trust, Unjha Nagrik Sahkari Voluntary Blood Bank",Gujarat,Mehsana,Unjha,"Sardar Seva Trust Sanchalit Unjha Nagrik Sahkari Bank Ltd., Voluntary Blood Bank, 1st Floor Poonam Complex, Unjha
Mehsana",384170,02767 248755,9408540234,,unjhabbank@yahoo.com,Dr. P. T. Patel,9408540234,9408540234,unjhabbank@yahoo.com,Private,"GB/23	"
Visnagar Voluntary Blood Bank,Gujarat,Mehsana,Visnagar,"Jivan Jyot Charitable Trust, Sanchalit Visnagar Voluntary Blood Bank, Station Road, Visnagar, Mehsana",,02765 220903,9712907002,, jjctvvbb@rediffmail.com,Dr. P N Patel,9712907002,9712907002, jjctvvbb@rediffmail.com,Private,"G/746	 "
Indian Red Cross Society Blood Bank Navsari,Gujarat,NAVSARI,Navsari,"Blood Bank, Indian Red Cross Society, B.K.Shah Red Cross Bhavan, Station Road, Navsari",396445,"02637 257452, 02673 253172",9824199640,,"IRCSN@rediffmail.com, redcrossnavsari@yahoo.co.in",Dr. K. D. Budhania                         ,9824199640,9824199640,"IRCSN@rediffmail.com, redcrossnavsari@yahoo.co.in",Private,"G/713	"
Lions Medical Trust Blood Bank Chikhali,Gujarat,NAVSARI,Navsari,"Blood Bank, Lions Medical Research and Educational Charitable Trust Blood Bank, Opposite to Referral Hospital, 
Chikhali, Navsari",396521,02634 234311,9825106158,,lionsbloodbankchikhli@yahoo.in,Dr. Kamlesh Patel,9825106158,9825106158,lionsbloodbankchikhli@yahoo.in,Private,"GB/94	"
N. M. Patel Blood Bank Bilimora,Gujarat,NAVSARI,Navsari,"Blood Bank, Lions Club Billimora Charitable Foundation Sponsored by N.M. Patel Blood Bank, Shroff Complex, 
Nr. Dr. Gupta Hospital, Bilimora, Navsari",396445,02634 285913,9428020522,,nmpbbblm1991@gmail.com,Dr. Vijay M. Desai,9428020522,9428020522,nmpbbblm1991@gmail.com,Charity,"G/705	 "
Indian red Cross Society Blood Bank Godhara,Gujarat,Panchmahal ,Godhara,"Blood Bank, Indian red Cross Society, Civil Lines, Godhra, 
Panchmahal",389001,02672 252830,"09327774074, 09327774074",,ircsgodhra@gmail.com,"Dr. Harsh Shah	",9327774074,9327774074,ircsgodhra@gmail.com,Private,GB/104
"General Hospital Blood Bank Godhra, ",Gujarat,Panchmahal ,Godhra,"Blood Bank, General Hospital, Godhra, Panchmahal",389001,02672 243192,"08980045310, 08980045304",,,"Dr. P. N. Desai   	",8980045310,8980045310,,Government,"GB/57	"
Raktdan Kendra Voluntary Blood Bank Godhra ,Gujarat,Panchmahal ,Godhra,"Raktdan Kendra Voluntary Blood Bank, Modi Ni Wadi No. 3, Near Nehru Garden, Godhra, Panchmahal",389001,"02672 650004, 02672 242153",9825038553,,"MRAKTAN@GMAIL.COM, mraktan@gmail.com",Dr. Prabhakar Bhatiya,9825038553,9825038553,mraktan@gmail.com,Private,"G/821	"
Seventilal Kantilal Blood Bank,Gujarat,PATAN,Patan,"The Rotary Club of Patan Charitable Trust Sanchlit Seventilal Kantilal Blood Bank, &#39;Rotary Bhavan&#39;, Khetarvari, Patan",384265,"02766 231477, 02766 233496","09586238655, 09824250171 ",,"bk_prajapati36@yahoo.co.in, bk_prajapati13@yahoo.co.in",Dr. N. M. Shaikh,9586238655,9586238655,"bk_prajapati36@yahoo.co.in, bk_prajapati13@yahoo.co.in",Private,"GB/686		"
GMERS Medical College and Hospital Blood Bank Dharpur ,Gujarat,PATAN,Patan,"Blood Bank, GMERS Medical College, Dharpur, Patan ",N/A,02766 233311                                     ,7567889901,,"bb001dharpur@gmail.com, drvipul09@gmail.com",Dr. B. H. Parmar ,7567889901,7567889901,"bb001dharpur@gmail.com, drvipul09@gmail.com",Government,"GB/166	 "
"Bahansali Trust Raktdan Kendra, Radhanpur ",Gujarat,PATAN,Patan,"Bahansali Trust Raktdan Kendra, Bahansali Trust Hospital, 
Highway, Radhanpur, Patan",N/A,"02746 277343, 02746 277249",9723998381,,btrust@rediffmail.com,Dr. Shailendra Paswan,9723998381,9723998381,btrust@rediffmail.com,Private,"GB/129	"
General Hospital Blood Bank Siddhpur,Gujarat,PATAN,Siddhpur,"Blood Bank, General Hospital, Siddhapur, Patan",N/A,02767 223086,9879108055,,bloodbanksiddhpur@gmail.com,Dr. Vishal Shukla,9879108055,9879108055,bloodbanksiddhpur@gmail.com,Government,"GB/164	"
General Hospital Blood Bank Porbandar,Gujarat,PORBANDAR,Porbandar,"Blood Bank, General Hospital, Porbandar",360575,0286 2242910,"09099079158, 09979882775",,"dr.l.a.dhamelia@gmail.com, bhp.lab.bb@gmail.com",Dr. Leeza Dhamelia,9979882775,9979882775,"dr.l.a.dhamelia@gmail.com, bhp.lab.bb@gmail.com",Government,GB/719
Asha Children Hospital and Blood Bank,Gujarat,PORBANDAR,Porbandar,"Asha Children Hospital and Blood Bank, Near Vasi Talav,
Porbandar",360575,0286 2210522,9428436749,,ashvinbharaniyacharitable@yahoo.com,Dr. Anil J Raghani,9924113693,9924113693,"ashvinbharaniyacharitable@yahoo.com, kamalkant.sharma13@gmail.com",Private,GB/120
Shri Ram Blood Bank Porbandar,Gujarat,PORBANDAR,Porbandar,"Shri Ram Blood Bank, Star Compound, M.G. Road, 
Porbandar",360575,0286 2240092,8128987109,9427426099,jp.trust.jethva@gmail.com,Dr. K. G. Rajyaguru ,9925873351,9925873351,Jaypal.bloodbank@gmail.com,Private,GB/130
Astha Voluntary Blood Bank Gondal,Gujarat,RAJKOT,Gondal,"Astha Voluntary Blood Bank, Jetpur Road, Opposite to
Hava Mahel, Near G.F.D.C. Gate, Gondal, Rajkot",360330,02825 220828,9879531616,,aasthabloodbank@yahoo.com,Dr. Nitinbhai,9879531616,9879531616,aasthabloodbank@yahoo.com,Private,GB/150
P.D.U. Medical College Blood Bank,Gujarat,RAJKOT,Rajkot,"Blood Bank, P.D.U. Medical College and General Hospital,
R.Nc.102, Jamnagar Road, Rajkot",360001,"0281 2450385, 0281 2458337, 0281 2458338, 0281 2458339","09825389050, 09825416609",,"cs_raj@gujarat.gov.in, gauravidhruva@yahoo.co.in",Dr. Gauravi Dhruve     ,9825389050,9825389050,"cs_raj@gujarat.gov.in, gauravidhruva@yahoo.co.in",Government,"GB/118	 "
Rajkot Voluntary Blood Bank and Research Centre,Gujarat,RAJKOT,Rajkot,"Rajkot Voluntary Blood Bank and Research Centre, 
Pitroda House, Malaviya Road, Rajkot",360002,0281 2234242 ,"09898700101, 08460781366",,"savelife@999life.org, kamlesh.dharajiya@999life.org",Dr. Kamlesh R. Dharajiya ,9898700101,9898700101,"savelife@999life.org, kamlesh.dharajiya@999life.org",Private,"G/228	 "
Red Cross Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,"Red Cross Building, 1st Floor, Suchak Road, Near Kundaliya College, Rajkot",360001,"0281 2466260, 08866871717",9426953839,,rajkot_ircs@yahoo.co.in,Gaurang M Pandya,9426953839,9426953839,pandyagm@yahoo.co.in,Government,"GB/158	"
 Saurastra Voluntary Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,"Kathiyawad Medical Education Trust sanchalit Saurastra Voluntary Blood Bank and Research Centre, Shashikunj commercial complex, 621, Mangal Park, Nirmalaconvent Road, Near Madhi Chowk, Rajkot",360002,0281 2450301,9825082454,,"svbbrjt@gmail.com, vanmali123@yahoo.co.in",Dr. H. B. Savaliya,9825082454,9825082454,"svbbrjt@gmail.com, vanmali123@yahoo.co.in",Charity,"GB/156	"
General Hospital Blood Bank Morbi,Gujarat,RAJKOT,Rajkot,"Blood Bank, General Hospital, Morbi, Rajkot",363641,"02822 230538, 02822 230203",9998476158,,"ghmorbi@yahoo.co.in, drkapshavara20@gmail.com",Dr. Kapil Bavarva,9998476158,9998476158,"ghmorbi@yahoo.co.in, drkapshavara20@gmail.com, sdhmorbi.health.rajkot@gmail.com",Government,"G/679	"
Nationality Development Foundation Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,"Blood Bank, Nationality Development Foundation,
Smt. S.C.Patel (Field Marshal Blood Banks), Medicare, 3rd Floor, Vidyanagar Main Road, Rajkot",360002,"0281 2480043, 0281 2481717",9825547459,,bfieldmarshal@yahoo.in,Dr. A. M. Patel ,9825547459,9825547459,bfieldmarshal@yahoo.in,Charity,"GB/87	"
"Nathani Voluntary Blood Bank,  Rajkot ",Gujarat,RAJKOT,Rajkot,"Nathani Voluntary Blood Bank and Blood Tranfusion. 
11, Tejash Building,20/22, New Janpath Plot, Rajkot ",N/A,"0281 2480659, 0281 6522111","09227600111,   09825912518",,nathanibloodbank@gmail.com,"Dr. R.R. Panelai	",9227600111,9227600111,nathanibloodbank@gmail.com,Private,"GB/59	"
Shiv Voluntary Blood Bank Morbi,Gujarat,RAJKOT,Rajkot,"Shiv Voluntary Blood Bank, 2nd Floor, Pawan Complex, Sanala Road, Near Sagar Hospital, Morbi, Rajkot",,02822 292577                                                    ,"09998959859, 09925052852",,nilman_001@yahoo.co.in,Dr. Nilesh M.Marvania-                                        ,9925052852,9925052852,nilman_001@yahoo.co.in,Private,"GB/86	 "
Jetpur Medical Foundation Trust Blood Bank Jetpur,Gujarat,RAJKOT,Rajkot,"Blood Bank, Jetpur Medical Foundation Trust, 2nd Floor, opp. Union Bank of India, Kanakiya Plot, Jetpur, Rajkot",360370,02827 226123,9426480401,,,Dr. Wadhwani,9426480401,9426480401,,Private,"GB/157	 "
Jagruti Charitable Trust Blood Bank Dhoraji,Gujarat,RAJKOT,Rajkot,"Jagruti Charitable Trust Blood Bank, Azad Chowk, Three Gate, Dhoraji, Rajkot",360410,02824 222485,9925873351,,jkrajyaguru@yahoo.com,"Dr.K.A.Rajyaguru -	",9925873351,9925873351,jkrajyaguru@yahoo.com,Private,"GB/69		"
GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,Gujarat,Sabarkantha,Himmatnagar,"Blood Bank, GMERS Medical College Attach Sir Pratap General Hospital, Himmatnagar, Sabarkantha",383001,"02772 246618, 02772 241551",9099069454,,bto.hmt@gmail.com,Dr. P. K. Gohil,9099069454,9099069454,bto.hmt@gmail.com,Government,"GB/678	"
Indian Red Cross Society Blood Bank Himmatnagar,Gujarat,Sabarkantha,Himmatnagar,"Blood Bank., Indian Red Cross Society Sabarkantha District Branch, Sheth Shri Jamanadas Madhavji Tanna , Red Cross Bhavan, Nr. G.P.O., State Highway, 
Himmatnagar, Sabarkantha",383001,"02772 240789, 02772 245110",9427691082,,"ircshmt@sify.com, pareshmehta10@yahoo.com",Dr. H. S. Soni,9427691082,9427691082,"ircshmt@sify.com, pareshmehta10@yahoo.com",Private,G/679 
Patel Voluntary Blood Bank Modasa,Gujarat,Sabarkantha,Sabarkantha,"Patel Voluntary Blood Bank, Dr. Yogesh Upadhyay&#39;s Hospital, Siddhi Vinayak Comlpex, Shamlaji Road, Modasa, 
Sabarkantha",,,9898651107,,bhavin1359@yahoo.com,Bhavin Patel ,9898651107,9898651107,bhavin1359@yahoo.com,Private,"GB/147	"
Trimurti Blood Bank,Gujarat,Sabarkantha,Sabarkantha,"Trimurti Blood Bank, B/H Trimurti Hospital, B/H Bus stop, Srinagar, Idar - 383430, Sabarkantha",383430,02778 251763,9898312397,,mehtabloodbank@yahoo.co.in,Dr. Rajesh Patel,9898312397,9898312397,mehtabloodbank@yahoo.co.in,Private,"GB/144		"
Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa,Gujarat,Sabarkantha,Sabarkantha,"Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab, 2nd floor, Upasana Complex, Nr. S.T. Stand, Modasa, Sabarkantha.",383315,"02774 247890, 02774 243690",9426036536,,ramanibloodbank@yahoo.com,Dr. Navin V. Patel,9426036536,9426036536,ramanibloodbank@yahoo.com,Private,"GB/90		"
New Civil Hospital Blood Bank,Gujarat,SURAT,Surat,"Blood Bank, The New Civil Hospital, Outside Majura Gate, 
Surat",395001,"0261 2230909, 0261 2244456 (ext 312), 0261 2244457, 0261 2244458, 0261 2244459, 0261 2208312","09824196639, 09825121410, 09898585804, 09426772901",,bloodbanknchs@gmail.com,Dr. A. N. Pandya,"0261 2208414, 0261 2208313",9824196639,"bloodbanknchs@gmail.com,  dr_amrish21@yahoo.com",Government,G-710
Surat Raktdan Kendra,Gujarat,SURAT,Surat,"Surat Raktdan Kendra, Udhna Khatodara Health Centre, 
Near Chosath Joganiyo Mataji Mandir, Udhna, Magdalla Road, Surat.",394210,"0261 2630114, 0261 2635533",9327338036,,srkrc2008@gmail.com,Dr. Snehlata Gupte,098255 94299,098255 94299,"srkrc2008@gmail.com, guptesurat@yahoo.co.in",Government,GB/15
"Lok Samarpan Raktadan Kendra, Surat",Gujarat,SURAT,Surat,"Lok Samarpan Raktadan Kendra Blood Bank, 
15, Miranagar, Opp.Saurastra Bhavan,
Mini Bazar, Varachha Road, 
Surat",395006,"0261 2553020, 0261 2547575","97,27,78,25,87,09,82,50,00,000",na,lsbloodbank@gmail.com,Dr.Hiren Dhanani-BTO,9727782587-9825064647,9727782587-9825064647,lsbloodbank@gmail.com,Private,"GB/24	"
Shree Mahavir Health And Medical Relief Society Blood Bank,Gujarat,SURAT,Surat,"Blood Bank, Shree Mahavir Health And Medical Relief Society, Shri B.D.Mehta  Mahavir Heart Institute, Shree Mahavir Health Campus,  Athwagate, Ring road, Surat",395001,"0261 2471770, 0261 2462116",9824158042,,mahavirbloodbankm@gmail.com,Dr.Chinubhai shah,9824158042,9824158042,mahavirbloodbankm@gmail.com,Private,"GB/100	"
Shree Sardar Smarak Hospital Blood Bank,Gujarat,SURAT,Surat,"Blood Bank, Shree Sardar Smarak Hospital Blood Bank, 
Station Road, Sardar Baug, Bardoli, Surat",394602,"02622 220089, 02622 220507 ","09427586310, 09879316223",,&#34;info@sshbardoli.com,Dr. Ritaben ,9427586310,9427586310,"info@sshbardoli.com, rajesh.patel332@yahoo.com",Charity,GB 134
SMIMER Hospital Blood Bank,Gujarat,SURAT,Surat,"Blood Bank, Surat Municipal Institute for Medical Education and Research, (SMIMER), Umarwada, Surat",395010,"0261 2368040, 0261 2368041, 0261 2368042, 0261 2368043, 0261 2368044 (Extn.1728,1729)",9328664546,,bbsmimer@yahoo.com,Dr. Ankita Patel       ,9879321172,"09879321172, 09376323273","bbsmimer@yahoo.com, drankitaanil@yahoo.com",Government,"G/788	"
 Surat Health Care Foundation Blood Bank,Gujarat,SURAT,Surat,"Blood Bank, Aminaben Gangat and Ayeshaben Patel Blood Bank, Surat Health Care Foundation, C/o. Lokhat Hospital, Nr. Rampura Petrol Pump, Rampura, Surat",395003,"0261 2401362, 0261 2400094",9825193328,,bloodbankshf@yahoo.com,Dr. Ashok K. Kapadia,0261 2400094,9825193328,bloodbankshf@yahoo.com,Charity,GB/05
General Hospital Surendranagar Blood Bank,Gujarat,SURENDRANAGAR,Surendranagar,"Blood Bank, General Hospital, Surendranagar",363001,02752 222052 ,9727712214,,cdmo.health.surendranagar@gmail.com,Dr. H. R. Prajapati,9727712214,9727712214,"dr.harshad@yahoo.co.in, cdmo.health.surendranagar@gmail.com",Government,"GB/716		"
C. U. Shah Medical College and Hospital Blood Bank,Gujarat,SURENDRANAGAR,Surendranagar,"Blood Bank, C. U. Shah Medical College and General Hospital, Dudhrej Road, Surerndranagar",363001,"02752 287041, 02752 287000, 02752 287001, 02752 287002","07383555835, 09904022772",,dr_hardik82@yahoo.com,Dr. Hardik makwana,0275 2287241,7383555835,dr_hardik82@yahoo.com,Charity,GB/113
Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,Gujarat,SURENDRANAGAR,Surendranagar,"Shraddha Vol. Blood Bank and Pathology Laboratory, Halani Chamber, 1st floor, Zala Road, Dhangadhra, Surendranagar",,02754 280301,9426922330,,shraddhapatho99@yahoo.com,Dr. Devayang Rana,9426922330,9426922330,shraddhapatho99@yahoo.com,Private,"GB/19	"
Laxmiben Kushalbhai Patel Blood Bank ,Gujarat,TAPI,Tapi,"Laxmiben Kushalbhai Patel Blood Bank, 1st Floor, Janak Smarak  Hospital, Kanpura, Vyara, Tapi",394650,02626 220251,9825788464,,lkpbb.vyara@yahoo.com,Dr. Tejasbhai Shah ,9825788464,9825788464,lkpbb.vyara@yahoo.com,Government,"GB/30	"
Maliba Raktdan Kendra (IRCS),Gujarat,TAPI,Vyara,"Blood Bank, Indian Red Cross Society, Maliba Raktadan Kendra, Bhikhiba Redcross Bhavan, Vilasini K. Desai aarogya Sankul, Near Vanchetana, Near Kakrapar, Vyara, Tapi",394651,02626 290181,9825788464,,,,,,,Private,GB/162
S. S. G. Hospital Vadodara,Gujarat,VADODARA,Vadodara,"Blood Bank, The Government Medical College and S.S.G. Hospital, Vadodara",390001,0265 2424848 ,9824275361,,bloodbankssgh@yahoo.com,"Dr. Farzana Kothari	",9824275361,9824275361,"bloodbankssgh@yahoo.com, farzanakothari@yahoo.com ",Government,"GB/729	"
Jamnabai Blood Bank,Gujarat,VADODARA,Vadodara,"Blood Bank, Jamnabai General Hospital, Vadodara",390001,0265 2517400,8238012038,,samir_path@yahoo.com,Dr. Samir Parikh,8238012038,8238012038,samir_path@yahoo.com,Government,
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ",Gujarat,VADODARA,Vadodara,"Medical Care Centre Trust, Shri Jalaram Blood Bank, Kashiben Gordhandas Patel Children Hospital,Surajben Gordhanbhai Patel Women&#39;s Hospital, Jalaram Marg, 
Karelibaug, Vadodara",390018,0265 2464130,9825335065,,"kgpchospital1984@yahoo.com, sunillab@yahoo.com, pannadesai@yahoo.in ",Dr. Sunil Shah,9825335065,9825335065,"kgpchospital1984@yahoo.com, sunillab@yahoo.com, pannadesai@yahoo.in",Private,"G/430	"
Suraktam Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,"Suraktam Blood Bank, G-7, Blue Chip Building, Near Stock Exchange, Sayajiganj, Vadodara",390005,"0265 2363660, 0265 2225903","09825044906, 09409279666",,suraktam@suraktambloodbank.org,Dr. R. B. Bhesania,9825044906,9825044906,suraktam@suraktambloodbank.org,Private,GB/77
Kailash Cancer Hospital & Research Centre Blood Bank.,Gujarat,VADODARA,Vadodara,"At: Muni seva ashram, po: Goraj, Tal : Waghodiya, Dist : vadodara, State : Gujarat.",391760,"0265 3961300, 0265 3961357",9825132377,--,bloodbank.kchrc@greenashram.org,"Dr. Bhawnaben Chaudhari   	",9727750305,9727750305,jayesh.rohit@greenashram.org,Private,GB/155
GMERS Medical College and General Hospital Blood Bank,Gujarat,VADODARA,Vadodara,"Blood Bank, GMERS General Hospital and Medical College, 
Gotri",390021,"0265 2398008, 0265 6541395","09825436699, 09327212564, 08128395667",,neenapdoshi@gmail.com,Dr. Neena Doshi,0265 6541395,9825436699,neenapdoshi@gmail.com,Government,GB/159
Indu Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,"Indu Blood Bank, III Floor, Vinraj Plaza, Opposite to Government Press, Khoti, Vadodara",390001,"0265 2437676, 0265 2411477","09825017334, 09925627186",,induhealth@gmail.com,Dr. Vijay Shah,098250 17334,098250 17334,induhealth@gmail.com,Private,"G/850	 "
Dhiraj General Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,"Dhiraj General Blood Bank, Mu. Post:-Waghodiya, Pipariya, Vadodara",391760,"02668 225264, 02668 245265, 02668 245266","09601151034, 09979304421",,dghmainoffice@yahoo.com,Dr. Ashu Doghra ,9979304421,9979304421,dghmainoffice@yahoo.com,Private,"GB/139	Latest renwed License is awaited"
Bhailal Amin General Hospital Blood Bank,Gujarat,VADODARA,Vadodara,"Blood Bank, Bhailal Amin General Hospital Blood Bank, 
Alembic Road, Vadodara",,"0265 2307038, 0265 2307039, 0265 2286666",9879977700,,bloodbank@baghhospital.com,Dr. Amarpreet ,9879977700,9879977700,bloodbank@baghhospital.com,Government,"GB/169	 "
SBPP Cooperative Bank Foundation Blood Bank,Gujarat,VALSAD,Pardi,"Blood Bank, SBPP Cooperative Bank Foundation Blood Bank of Manav Arogya Seva Kendra,  Jesal Cooperative and Housing Society, Near Pardi Hospital, National Highway-No.-8, Killa Pardi, Valsad",396125,0260 2374422,9898798253,,sbppbb@rdeiffmail.com,Dr. M. M. Qureshi,9898798253,9898798253,sbppbb@rdeiffmail.com,Private,"GB/93	 "
General Hospital and GMERS Medical College Blood Bank,Gujarat,VALSAD,Valsad,"Blood Bank, GMERS Medical College and General Hospital, 
Halar Road, Valsad",396001,"02632 251744, 02632 251911",9428020450,,amitshah251@rediffmail.com,Dr. Amit Shah,9428020450,9428020450,"amitshah251@rediffmail.com, ",Government,"GB/91	  "
Valsad Raktdan Kendra,Gujarat,VALSAD,VALSAD,"Shirin and Jamshed Gulzar Regional Blood Centre,
Valsad Raktdan Kendra (A Voluntary Blood Bank and Research Centre), RNC Free Eye Hospital Compound,
Opp. Mamlatdar Office, Valsad",396001,"02632 242944, 02632 253650                 ","09825144643, 09825158044",,bloodbank.valsad@gmail.com,Dr. Vishal Maheta ,9979496078,9979496078,,Charity,"G/449	  "
"Nukem Blood Bank, Vapi",Gujarat,VALSAD,Valsad,"Nukem Blood Bank and Haria Rotary Hospital, 
Plot No. 363 A- 364, G.I.D.C., Vapi, Valsad",396001,"0260 2430654, 0260 2400053, 0260 6638888",9909618689,,info@hariarotaryhospital.com,Dr. Manoj Sachdeva,9909618689,9909618689,"info@hariarotaryhospital.com, admin@hariarotaryhospital.com",Private,"GB/2		"
Smt. Puriben Popat Lakha Blood Bank,Gujarat,VALSAD,Vapi,"Blood Bank, Smt. Puriben  Popat  Lakha Lions Blood Bank sanchalak Lions Club of Vapi Udyognagar Charitable Trust,
Plot No : 366/A, Prashant Park, Near Jain Tample, G.I.D.C, 
Vapi, Valsad",396195,"0260 2434600, 0260 2434601",9879536375,,lionsbloodbank03@gmail.com,Dr. Narendra Lakhani,9879536375,9879536375,lionsbloodbank03@gmail.com,Private,GB/124
Military Hospital Blood Bank Ambala,Haryana,AMBALA,Ambala,"Blood Bank, Military Hosptial, Ambala Cantt.",133001,0171 2626557 ,,,,,,,,Government,
MM Institute of Medical Sciences and Research Blood Bank,Haryana,AMBALA,Ambala,Mulana,133207,01731 304581,9729984910,,nasib_chand2004@yahoo.com,Dr. N. Chand,9729984910,9729984910,nasib_chand2004@yahoo.com,Private,591
Sanjeevani Blood Bank,Haryana,AMBALA,Ambala,"111, Near Railway Road, Sadar Bazar, Ambala Cantt.",133001,0171 4002002,9729177002,,,Dr. Kamildeep Singh,0171 4002002,9729177002,sanjeevanibloodbank002@gmail.com,Private,640
General Hospital Blood Bank Ambala City ,Haryana,AMBALA,Ambala City,"Civil Hospital, Ground Floor, Near Polytechnic Chowk ",134002,"01712554455, 0171 2552908,",9416110322,,bloodbankambala@gmail.com,Dr. Virender Bharti,,9416110322,bloodbankambala@gmail.com,Government,386-B(H)
Philadelphia Mission Hospital Blood Bank,Haryana,AMBALA,Ambala City,"Post box 40, Near RA Chowk, Ambala",134002,0171 2553295,9896101333,,philhosp@gmail.com,Dr. S.K Mahipal,,9416269106,skmahipal04@gmail.com,Charity,608
General Hospital Bhiwani Blood Bank ,Haryana,BHIWANI,Bhiwani,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,",127021,01664 253014,9467074267,,pmobhiwani@gmail.com ,Dr. Satbir Singh Bhankar,,9467074267,bloodbankbhiwani@gmail.com,Government,
City Blood Bank,Haryana,BHIWANI,Bhiwani,"Circular Road, Bhiwani",,,,,,,,,,Private,
Gold Field Hospital and Research Centre,Haryana,FARIDABAD,Ballabgarh,"Village and post office Chhainsa, Ballabgarh, Faridabad.",121004,"0129 2209395, 0129 2209390 ",8814899239,,goldfieldbloodbank@gmail.com,Dr. Parineeta,8814899239,8814899239,goldfieldbloodbank@gmail.com,Private,690-BH
Badshah Khan General Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,"New Industrial Township, Faridabad",121001,0129 2411881,"09999132742, 09999577043",,rbtcfaridabad@gmail.com,Dr. Savita Yadav,,9999577043,rbtcfaridabad@gmail.com,Government,
Escorts Hospital and Research Center Limited Blood Bank,Haryana,FARIDABAD,Faridabad,"Neelam Bata Road, NIT Faridabad.",121001,"0129 2466022, 0129 2466020",9818277538,,"bloodbank.fbd@fortishealthcare.com, satya.sharma1@fortishealthcare.com",Dr. Satya Narayan Sharma,9818277538,9818277538,satya.sharma1@fortishealthcare.com,Private,500
M/s Sunflag Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",121001,"0129 4199156, 0129 4199159",9910605254,,sunflagbloodbank@gmail.com,Dr. Anita Chabra,"0129 4199156, 0129 4199159",9910605254,sunflagbloodbank@gmail.com,Private,609-BH
Sarvodaya Hospital and Research Centre,Haryana,FARIDABAD,Faridabad,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",121006,0129-4184444,9910726654,,nem.5@sarvodyahospital.com,Dr. Gurudev Singh,,9899062350,"www.sarvodayahospital.com, nem.s@sarvodayahospital.com",Private,674
QRG Central Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,",121001,"0129 4090300 (Extn. 1956, 1958, 1962)",8826533714,,qrgcentralhospital150@gmail.com,Dr. Sudhir Vatsa,8826533714,8826533714,sudhir.v216@gmail.com,Private,642
Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,"No - 1697, K Block, NIT, Faridabad,
",121001,0129 402 9070,,,rbbfbd@gmail.com,Dr. Geeta Khurana,,9871395097,drgeetakhurana@gmail.com,Charity,
Asian Institute of Medical Sciences Blood Bank,Haryana,FARIDABAD,Faridabad,"Badkhal Flyover Road, Sector 21-A, Faridabad",121001,"0129 4253196, 01294253197",9650099052,1067,"uma.rani@aimsindiaco.in, blood.bank@aimsindiaco.in",Dr. Uma Rani,0129 4253196,9650099052,uma.rani@aimsindiaco.in,Private,680-BH
Metro Heart Institute with Multispecialty,Haryana,FARIDABAD,Faridabad,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",121002,0129 4277777,9818538609,,drmeenu.pujani@metrohospitalfaridabad.com,Dr. Meenu Pujani,,9818538609,drmeenu.pujani@metrohospitalfaridabad.com,Private,681
